Inventory
Id;title;subtitle;Authors;publisher;storingLocation;comment;;;;
;Sturz der Titanen;;Ken Follett;Bastei Lübbe;CrowdFarming Box 8;;;;;
;Nacht über den Wassern;;Ken Follett;Bastei Lübbe;CrowdFarming Box 8;;;;;
;World Without End;;Ken Follett;PAN;CrowdFarming Box 8;;;;;
;Winter der Welt;;Ken Follett;Bastei Lübbe;CrowdFarming Box 8;;;;;
;The Third Twin;;Ken Follett;PAN;CrowdFarming Box 8;;;;;
;Die Leopardin;;Ken Follett;Lübbe;CrowdFarming Box 8;;;;;
;Die Nadel;;Ken Follett;Bastei Lübbe;CrowdFarming Box 8;;;;;
;Die Spur der Füchse;;Ken Follett;Lingen;CrowdFarming Box 8;;;;;
;The Pillars of the Earth;;Ken Follett;PAN;CrowdFarming Box 8;;;;;
;The Hammer of Eden;;Ken Follett;Fawcett;CrowdFarming Box 8;;;;;
;Die Tore der Welt;;Ken Follett;Lübbe;CrowdFarming Box 8;;;;;
;The Green Mile;;Stephen King;Bastei Lübbe;CrowdFarming Box 8;;;;;
;Die Augen des Drachen;;Stephen King;Heyne;CrowdFarming Box 8;;;;;
;Das Böse in Uns;;Cody McFadyen;Bastei Lübbe;CrowdFarming Box 8;;;;;
;Simple Genius;;David Baldacci;Grand Central;CrowdFarming Box 8;;;;;
;Mann unter Feuer;;A. J. Quinnel;Goldmann;CrowdFarming Box 8;;;;;
;Der diskrete Mr. Flint;;Ian Rankin;Goldmann;CrowdFarming Box 8;;;;;
;Domain-Driven Design;Tackling Complexity in the Heart of Software;Eric Evans;Addison Wesley;IKEA #9;;;;;
;Die App;;Arno Strobel;Fischer;IKEA #9;;;;;
;Fake;;Arno Strobel;Fischer;IKEA #9;;;;;
;Sharing;;Arno Strobel;Fischer;IKEA #9;;;;;
;Offline;;Arno Strobel;Fischer;IKEA #9;;;;;
;Pretty Little Liars;;Sara Shepard;Harper Teen;IKEA #9;;;;;
;Pretty Little Liars;Unbelievable;Sara Shepard;Harper Teen;IKEA #9;;;;;
;Pretty Little Liars;Flawless;Sara Shepard;Harper Teen;IKEA #9;;;;;
;Pretty Little Liars;Perfect;Sara Shepard;Harper Teen;IKEA #9;;;;;
;Der Alltags-Chillosoph;40 kluge Pausen;Fabrice Midal;dtv;IKEA #9;;;;;
;Kaltgestellt;;Colin Forbes;Heyne;IKEA #9;;;;;
;Scriptum;;Raymond Khoury;rororo;IKEA #9;;;;;
;Hook;;Terry Brooks;Goldmann;IKEA #9;;;;;
;Die Känguru Triologie;Die Känguru-Chroniken;Marc-Uwe Kling;Ulstein;IKEA #9;;;;;
;Die Känguru Triologie;Das Känguru-Manifest;Marc-Uwe Kling;Ulstein;IKEA #9;;;;;
;Die Känguru Triologie;Die Känguru-Offenbarung;Marc-Uwe Kling;Ulstein;IKEA #9;;;;;
;lost in gentrification;großstadtgeschichten;Sebastian Lehmann, Volker Surmann;Satyr Verlag;IKEA #9;;;;;
;Über Wachen und Schlafen;Systemrelevanter Humor;Julius Fischer, Marc-Uwe Kling, Sebastian Lehmann, Maik Martschinkowsky, Kolja Reichert;Voland & Quist;IKEA #9;;;;;
;Qualityland;;Marc-Uwe Kling;Ullstein;IKEA #9;;;;;
;Qualityland 2.0;;Marc-Uwe Kling;Ullstein;IKEA #9;;;;;
